title_type,primary_title,genres,runtime_minutes,num_votes,average_rating
short,Mephisto's Son,"Comedy,Short",16.0,46,6.1
short,Beware of My Husband,"Comedy,Short",6.0,17,5.1
short,Le choix d'une bonne,"Comedy,Short",,9,4.7
short,Soap Bubbles,"Fantasy,Short",4.0,223,5.4
short,The Warwick Pageant,"Documentary,Short",25.0,14,4.4
short,"Epileptic Seizure, No. 8","Documentary,Short",,12,2.9
short,Three American Beauties,"Documentary,Short",1.0,401,5.7
short,"Earthquake Ruins, New Majestic Theatre and City Hall","Documentary,Short",,24,4.6
short,The Bewitched Shepherd,"Comedy,Fantasy,Romance",5.0,170,5.3
short,Dixon-Chester Leon Contest,"Documentary,Short,Sport",4.0,17,4.6
movie,The Story of the Kelly Gang,"Action,Adventure,Biography",70.0,819,6.0
short,Tom Sawyer,Short,,39,6.1
short,Shakespeare Writing Julius Caesar,Short,3.0,18,3.7
short,Easter Eggs,Short,3.0,191,5.7
short,At the Photographer,Short,7.0,102,5.3
short,A Slave's Love,"Drama,Short",11.0,55,4.9
short,Old Mashers,"Comedy,Short",6.0,7,4.0
short,From Barrel to Barrel,"Comedy,Short",,11,4.3
short,What a Yawn Did,"Comedy,Short",4.0,113,5.4
short,Lost Umbrella,"Comedy,Short",,8,4.8
short,The Golden Beetle,"Fantasy,Short",3.0,868,6.5
short,"The 'Float', Waikiki, Honolulu, Hawaiian Islands","Documentary,Short",,14,4.5
short,"Jamestown Exposition International Naval Review, Hampton Roads, Virginia","Documentary,Short",2.0,9,4.2
short,The Abduction of the Slave Women,"Adventure,Crime,Short",5.0,75,4.6
movie,Los carreros,,,17,3.6
short,A Pair of White Gloves,Short,18.0,56,6.0
short,Artistic Rag-Pickers,Short,5.0,14,5.7
short,L'agent gelé,Short,,23,5.2
short,Humanity Through the Ages,Short,,19,7.2
short,The Song of the Shirt,"Drama,Short",11.0,135,5.6
short,Le corso tragique,"Drama,Short",,17,5.3
short,The Cossacks,"Drama,Short",,10,6.7
short,The Greaser's Gauntlet,"Action,Short",17.0,53,5.6
short,Tomkins Buys a Donkey,"Comedy,Short",,14,5.4
short,Result of Eating Horse Flesh,"Comedy,Short",6.0,25,5.0
short,Buying a Cow,"Comedy,Short",8.0,19,4.0
short,I Have Won a Pig,"Comedy,Short",3.0,7,4.0
short,Le costume blanc,"Comedy,Short",5.0,40,4.8
short,The Princess in the Vase,"Comedy,Short",,15,6.2
